Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Andrew Stevenson,2021,WSN,214,6.1%,29.0%,0.109,68,17932
Brent Rooker,2021,MIN,213,7.0%,32.9%,0.196,89,19627
J.D. Davis,2021,NYM,211,11.4%,32.2%,0.151,130,16219
Connor Joe,2021,COL,211,12.3%,19.4%,0.184,116,16572
Kyle Higashioka,2021,NYY,211,8.1%,28.0%,0.207,71,5517
Andres Gimenez,2021,CLE,210,5.2%,25.7%,0.133,73,19950
Jorge Mateo,2021,- - -,209,4.3%,26.3%,0.129,83,17273
Ehire Adrianza,2021,ATL,209,10.0%,20.1%,0.154,94,8418
Manny Pina,2021,MIL,208,10.6%,18.3%,0.250,95,2829
Marcell Ozuna,2021,ATL,208,9.1%,22.1%,0.144,73,10324
Mike Moustakas,2021,CIN,206,8.7%,22.3%,0.164,70,4892
Danny Jansen,2021,TOR,205,8.3%,21.5%,0.250,105,16535
Aristides Aquino,2021,CIN,204,13.2%,36.8%,0.218,83,15482
Owen Miller,2021,CLE,202,4.5%,26.7%,0.105,49,24655
Victor Caratini,2018,CHC,200,6.0%,21.0%,0.072,65,14968
Alex Avila,2019,ARI,201,17.9%,33.8%,0.213,96,7476
Ty France,2019,SDP,201,4.5%,24.4%,0.168,84,17982
Kendrys Morales,2019,- - -,201,12.9%,12.9%,0.059,63,8610
Isan Diaz,2019,MIA,201,9.5%,29.4%,0.134,53,17922
Ryan McMahon,2018,COL,202,8.9%,31.7%,0.144,69,15112
Dustin Fowler,2018,OAK,203,3.9%,23.2%,0.130,67,17098
Gregor Blanco,2018,SFG,203,5.9%,28.6%,0.101,58,3123
Willians Astudillo,2019,MIN,204,2.5%,3.9%,0.111,77,15608
Ronny Rodriguez,2018,DET,206,4.9%,20.4%,0.115,57,11875
Blake Swihart,2018,BOS,207,7.2%,27.5%,0.099,64,13176
Greg Garcia,2018,STL,208,9.6%,17.8%,0.083,73,10951
Jefry Marte,2018,LAA,209,6.2%,19.6%,0.155,75,5107
Martin Prado,2018,MIA,209,5.3%,16.7%,0.061,66,3312
